elt   U30A      U30B      U35A      U35B      U35C      U40A      U40B      U40C    
60Co  6.47E-10  6.71E-10  8.57E-11  1.21E-09  1.41E-09  3.88E-10  2.93E-09  3.21E-09  
61Co  3.18E-10  4.61E-10  5.46E-10  1.09E-09  1.29E-09  2.22E-11  8.74E-10  9.71E-10  
56Ni  1.22E-13  2.09E-01  3.60E-19  1.18E-13  5.82E-01  6.73E-19  1.22E-13  6.89E-01  
57Ni  1.42E-12  3.73E-03  1.21E-14  2.01E-12  1.44E-02  1.41E-14  1.13E-12  1.65E-02  
58Ni  4.26E-08  7.45E-04  4.67E-08  4.92E-08  5.97E-03  5.25E-08  5.38E-08  1.21E-02  
59Ni  1.65E-09  5.48E-05  1.96E-11  2.16E-09  6.54E-04  1.23E-10  1.46E-09  7.94E-04  
60Ni  3.39E-08  3.58E-03  1.66E-08  4.50E-08  9.20E-03  1.93E-08  4.39E-08  1.26E-02  
61Ni  7.97E-09  1.07E-04  2.00E-09  1.11E-08  1.99E-04  1.69E-09  1.31E-08  2.04E-04  
62Ni  2.03E-08  7.76E-07  8.22E-09  2.74E-08  3.03E-04  8.21E-09  3.12E-08  5.55E-04  
63Ni  2.83E-09  2.73E-09  2.33E-09  5.42E-09  5.31E-09  9.19E-10  7.09E-09  7.01E-09  
64Ni  1.55E-08  1.51E-08  5.87E-09  2.42E-08  2.38E-08  7.63E-10  2.94E-08  2.91E-08  
65Ni  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
59Cu  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
60Cu  7.48E-13  8.50E-04  1.84E-16  9.77E-13  5.16E-03  2.87E-16  6.57E-13  2.98E-03  
61Cu  1.41E-11  1.02E-04  2.67E-15  1.89E-11  5.06E-04  2.16E-15  1.69E-11  5.40E-04  
62Cu  1.12E-11  2.90E-08  6.04E-17  1.68E-11  1.91E-05  4.53E-17  1.54E-11  3.07E-05  
63Cu  3.20E-09  1.82E-06  8.12E-11  3.97E-09  1.90E-05  9.16E-11  4.99E-09  3.16E-05  
64Cu  3.38E-10  3.43E-10  1.55E-13  4.63E-10  4.81E-10  1.69E-13  5.29E-10  6.06E-10  
65Cu  5.72E-09  7.16E-09  1.57E-09  7.84E-09  8.33E-09  1.15E-10  9.14E-09  9.74E-09  
66Cu  3.93E-12  3.25E-12  7.08E-13  4.13E-12  4.05E-12  8.20E-15  4.64E-12  5.22E-12  
60Zn  5.86E-19  8.80E-06  1.22E-28  3.45E-19  1.10E-05  4.30E-28  1.27E-19  6.27E-08  
61Zn  1.36E-18  2.18E-08  3.06E-30  9.94E-19  1.37E-08  1.09E-30  1.66E-19  5.72E-12  
62Zn  2.30E-12  1.72E-06  5.99E-18  4.10E-12  1.16E-03  8.23E-18  6.53E-12  1.73E-03  
63Zn  2.63E-12  3.24E-07  1.05E-16  5.04E-12  1.06E-05  1.16E-16  6.66E-12  9.16E-06  
64Zn  3.28E-09  2.74E-04  8.80E-10  5.04E-09  2.14E-04  9.89E-10  5.32E-09  1.90E-04  
65Zn  6.23E-10  2.84E-06  5.37E-13  9.95E-10  2.34E-06  1.76E-12  1.31E-09  2.75E-06  
66Zn  7.41E-09  1.08E-06  1.97E-09  1.18E-08  3.47E-06  2.75E-10  1.32E-08  5.57E-06  
67Zn  1.20E-09  1.38E-09  3.60E-10  2.30E-09  3.29E-09  2.15E-11  3.28E-09  6.41E-09  
68Zn  1.82E-08  1.76E-08  3.58E-08  4.47E-08  4.40E-08  8.90E-11  1.52E-08  1.51E-08  
69Zn  2.75E-09  3.96E-09  4.39E-09  7.99E-09  9.36E-09  1.05E-12  1.21E-10  1.25E-10  
64Ga  1.36E-15  1.26E-06  9.27E-23  1.14E-15  7.02E-07  7.59E-23  6.46E-16  3.92E-09  
65Ga  4.37E-14  3.89E-07  6.33E-18  6.37E-14  7.56E-07  6.90E-19  5.56E-14  1.96E-07  
66Ga  1.03E-12  3.40E-06  9.51E-16  1.73E-12  1.22E-05  9.97E-17  2.29E-12  2.14E-05  
67Ga  9.98E-11  4.93E-09  1.66E-13  1.19E-10  2.85E-08  5.04E-16  1.35E-10  7.14E-08  
68Ga  1.78E-11  1.76E-11  1.35E-13  3.03E-11  3.13E-11  3.09E-16  3.47E-11  4.17E-11  
69Ga  5.06E-09  5.64E-09  8.64E-09  1.21E-08  1.28E-08  9.52E-12  2.44E-09  2.54E-09  
70Ga  4.52E-10  5.11E-10  6.75E-10  8.83E-10  9.46E-10  2.67E-13  6.90E-11  6.95E-11  
64Ge  3.70E-22  1.36E-09  1.95E-36  1.22E-22  1.62E-10  2.49E-36  4.50E-23  4.18E-15  
65Ge  7.34E-26  4.98E-16  1.78E-44  1.09E-26  7.01E-18  3.54E-46  1.44E-27  1.23E-25  
66Ge  6.22E-15  2.37E-06  3.97E-20  1.25E-14  2.05E-05  3.17E-22  2.39E-14  2.15E-05  
67Ge  1.23E-14  5.80E-10  2.29E-20  2.20E-14  5.36E-09  7.67E-23  2.82E-14  2.07E-09  
68Ge  2.18E-11  3.52E-10  4.03E-14  5.08E-11  3.97E-09  4.74E-17  5.92E-11  2.60E-08  
69Ge  7.07E-12  7.95E-12  2.35E-13  1.55E-11  1.66E-11  4.54E-16  1.91E-11  4.45E-11  
70Ge  5.79E-09  5.94E-09  9.76E-09  1.27E-08  1.26E-08  1.34E-11  3.57E-09  5.16E-09  
71Ge  4.36E-08  4.23E-08  1.24E-07  1.30E-07  1.28E-07  4.10E-11  1.16E-08  1.15E-08  
Mass  27.3      28.1      25.1      32.2      33.2      26.5      36.1      38.2      
