elt   T30A      T30B      T35A      T35B      T35C      T40A      T40B      T40C    
KE    1.28      1.84      1.23      2.03      2.47      1.21      2.00      2.54    
1H    11.6      11.6      12.8      12.8      12.8      13.7      13.7      13.7      
4He   10.3      10.3      12.0      12.0      12.1      13.9      13.9      13.9      
64Cu  9.77E-08  9.86E-08  4.86E-08  9.32E-08  9.30E-08  2.16E-08  9.43E-08  1.01E-07  
65Cu  1.63E-06  1.63E-06  1.37E-06  1.91E-06  1.89E-06  9.67E-07  2.30E-06  2.31E-06  
66Cu  1.92E-09  1.87E-09  1.04E-09  1.66E-09  1.73E-09  1.56E-09  2.35E-09  2.72E-09  
60Zn  1.14E-16  8.21E-12  1.86E-17  3.88E-13  1.24E-05  5.32E-18  2.97E-17  9.54E-09  
61Zn  3.19E-16  6.75E-15  3.44E-17  4.22E-16  1.63E-08  5.13E-18  3.39E-17  3.88E-13  
62Zn  1.72E-10  6.90E-07  3.01E-11  3.80E-05  1.09E-03  1.21E-11  3.08E-10  1.42E-03  
63Zn  2.86E-10  1.66E-09  8.66E-11  2.82E-09  7.73E-06  3.76E-11  4.74E-10  3.19E-06  
64Zn  5.48E-07  1.77E-04  4.92E-07  4.44E-05  2.13E-04  3.92E-07  7.65E-07  1.96E-04  
65Zn  1.59E-07  2.63E-06  9.74E-08  7.95E-07  2.61E-06  6.25E-08  2.09E-07  3.33E-06  
66Zn  2.49E-06  3.93E-06  2.16E-06  4.08E-06  8.34E-06  1.54E-06  3.69E-06  1.40E-05  
67Zn  3.77E-07  3.72E-07  6.05E-07  7.94E-07  7.85E-07  4.47E-07  1.05E-06  1.04E-06  
68Zn  3.67E-06  3.68E-06  3.95E-06  5.38E-06  5.33E-06  2.95E-06  6.96E-06  7.00E-06  
69Zn  1.86E-08  1.87E-08  1.70E-08  2.21E-08  2.17E-08  1.83E-08  3.96E-08  3.97E-08  
64Ga  8.26E-13  1.04E-12  3.20E-13  6.14E-13  7.60E-07  1.58E-13  4.60E-13  6.40E-10  
65Ga  1.35E-11  1.80E-11  5.54E-12  1.81E-11  6.92E-07  2.38E-12  1.18E-11  8.40E-08  
66Ga  3.55E-10  2.57E-06  1.40E-10  1.29E-06  1.49E-05  5.21E-11  4.51E-10  2.63E-05  
